Iteration	Posterior	Likelihood	Prior	br_lengths[1]	br_lengths[2]	br_lengths[3]	br_lengths[4]	br_lengths[5]	br_lengths[6]	br_lengths[7]	br_lengths[8]	br_lengths[9]	br_lengths[10]	br_lengths[11]	br_lengths[12]	br_lengths[13]	br_lengths[14]	br_lengths[15]	br_lengths[16]	br_lengths[17]	br_lengths[18]	br_lengths[19]	br_lengths[20]	br_lengths[21]	br_lengths[22]	br_lengths[23]	partition_rate[1]	partition_rate[2]	rate01	rate10	rate_categories[1]	rate_categories[2]	rate_categories[3]	rate_categories[4]	rate_categories[5]	rate_categories[6]	rate_log_sd	rate_loss	rate_neo	rel_br_lengths[1]	rel_br_lengths[2]	rel_br_lengths[3]	rel_br_lengths[4]	rel_br_lengths[5]	rel_br_lengths[6]	rel_br_lengths[7]	rel_br_lengths[8]	rel_br_lengths[9]	rel_br_lengths[10]	rel_br_lengths[11]	rel_br_lengths[12]	rel_br_lengths[13]	rel_br_lengths[14]	rel_br_lengths[15]	rel_br_lengths[16]	rel_br_lengths[17]	rel_br_lengths[18]	rel_br_lengths[19]	rel_br_lengths[20]	rel_br_lengths[21]	rel_br_lengths[22]	rel_br_lengths[23]	root_freqs[1]	root_freqs[2]	rtfq1	tree_length
0	-37.96087	-56.61568	18.6548	0.0117866	0.0285248	0.0101118	0.0252824	0.0363217	0.0107525	0.0119579	0.0688024	0.0119714	0.0925615	0.119622	0.104179	0.0266792	0.0102552	0.0195325	0.136313	0.0111634	0.00295623	0.029038	0.00511688	0.00512702	0.00533549	0.0174439	0.902596	1.05844	0.4726775	1.527323	0.0563522	0.245933	0.645574	1.54901	4.06616	17.7455	2.079643	3.231215	0.5116556	0.0147179	0.0356188	0.0126266	0.0315701	0.0453548	0.0134267	0.0149318	0.0859134	0.0149487	0.115581	0.149371	0.130088	0.0333142	0.0128057	0.0243902	0.170214	0.0139398	0.00369144	0.0362596	0.00638943	0.00640209	0.0066624	0.0217821	0.875526	0.124474	0.8755261	0.8008351
36	-32.49669	-55.01558	22.5189	0.0356778	0.151324	0.0355308	0.0190579	0.0295846	0.0119461	0.0557317	0.0708203	0.00329266	0.172092	0.154846	0.148905	0.00320189	0.135016	0.0588138	0.0566333	0.200993	0.0338249	0.0116032	0.00149965	0.0285689	0.0345387	0.0696095	0.374322	1.37541	1.340956	0.6590443	0.765041	0.877552	0.960068	1.04159	1.13953	1.30712	0.1936563	0.4914736	0.1632922	0.0234243	0.099352	0.0233278	0.0125125	0.0194238	0.00784325	0.0365907	0.0464971	0.0021618	0.112987	0.101664	0.0977637	0.0021022	0.0886446	0.0386143	0.0371826	0.131962	0.0222078	0.00761807	0.000984599	0.0187569	0.0226764	0.0457022	0.440332	0.559668	0.4403321	1.523112
72	-31.51841	-53.72791	22.2095	0.101347	0.0533551	0.00974594	0.0281672	0.00881202	0.00136661	0.00523258	0.0483704	0.0672105	0.0581049	0.000141955	0.244492	0.0188159	0.0268329	0.014709	0.0145958	0.0438284	0.0595705	0.00575067	0.0137455	0.0452895	0.0978846	0.00124739	0.184298	1.48942	0.7906777	1.209322	0.560904	0.75428	0.915783	1.09196	1.32577	1.78284	0.4180819	1.529476	0.07424301	0.10463	0.0550839	0.0100617	0.0290799	0.00909753	0.00141089	0.00540211	0.0499376	0.0693882	0.0599875	0.000146554	0.252414	0.0194255	0.0277023	0.0151856	0.0150687	0.0452485	0.0615006	0.005937	0.0141909	0.0467569	0.101056	0.00128781	0.760719	0.239281	0.7607194	0.9686163
108	-35.41471	-57.91362	22.49891	0.0100621	0.00300124	0.00873311	0.00310401	0.0404749	0.0386193	0.00129139	0.0051249	0.00614921	0.0119066	0.0140336	0.0259188	0.0121069	0.00506177	0.0251588	0.0253891	0.0166253	0.000300217	0.0139527	0.00721858	0.0347031	0.027504	0.000297452	0.264263	1.44144	1.357302	0.6426981	0.164687	0.414919	0.759996	1.3158	2.41011	6.07212	1.304205	0.4735115	0.1099994	0.0298811	0.00891272	0.0259345	0.00921789	0.120197	0.114687	0.003835	0.0152193	0.0182612	0.0353589	0.0416753	0.0769705	0.0359537	0.0150318	0.0747133	0.0753974	0.0493716	0.000891546	0.0414349	0.0214368	0.103057	0.0816779	0.000883336	0.498375	0.501625	0.4983754	0.3367371
144	-37.08339	-53.21472	16.13133	0.0499593	0.0260009	0.130442	0.136204	0.0389774	0.196189	0.230733	0.0478965	0.0509936	0.355354	0.145694	0.164146	0.150902	0.130097	0.0813671	0.0263296	0.160352	0.203948	0.0418953	0.0299705	0.158409	0.406717	0.0528994	1.7358	0.558521	0.439986	1.560014	0.879391	0.939242	0.980634	1.01975	1.06469	1.13715	0.09293284	3.545599	1.864709	0.0165676	0.0086225	0.0432576	0.0451682	0.0129258	0.0650608	0.0765162	0.0158836	0.0169106	0.117843	0.0483153	0.0544345	0.0500424	0.043143	0.0269832	0.0087315	0.0531763	0.0676338	0.0138934	0.00993891	0.052532	0.134877	0.0175426	0.583496	0.416504	0.5834962	3.015475
180	-40.92285	-58.00102	17.07818	0.122198	0.0114821	0.0309408	0.10825	0.0516174	0.104933	0.246913	0.0541364	0.0230817	0.144606	0.0275176	0.119998	0.1408	0.132786	0.00023416	0.0702483	0.144325	0.331068	0.0710347	0.0731887	0.0662978	0.0742364	0.0517396	0.600601	1.23964	0.3955055	1.604494	0.0632684	0.260217	0.657046	1.52196	3.84295	15.8057	1.995937	4.05682	0.2906979	0.0555034	0.00521528	0.0140535	0.0491682	0.023445	0.0476614	0.11215	0.0245892	0.0104839	0.0656811	0.0124987	0.0545042	0.0639523	0.0603125	0.000106358	0.0319073	0.0655537	0.150374	0.0322646	0.0332429	0.030113	0.0337188	0.0235006	0.523261	0.476739	0.5232615	2.201634
216	-41.75625	-57.05562	15.29936	0.248755	0.0466179	0.198324	0.0809662	0.0561173	0.0385313	0.264863	0.050861	0.00022476	0.115942	0.110438	0.122388	0.175285	0.117493	0.185663	0.269858	0.278962	0.211201	0.0433647	0.0831765	0.0855017	0.0332244	0.351382	0.385547	1.36867	0.2062122	1.793788	0.136588	0.378738	0.738669	1.35379	2.64035	7.32126	1.439473	8.698747	0.1690164	0.0784929	0.0147099	0.0625799	0.0255483	0.0177074	0.0121583	0.0835756	0.0160488	7.09215e-05	0.0365845	0.0348478	0.0386188	0.0553101	0.0370741	0.0585848	0.0851517	0.0880246	0.0666431	0.0136834	0.0262457	0.0269794	0.0104837	0.110876	0.137282	0.862718	0.1372815	3.169142
252	-34.45075	-53.57679	19.12604	0.0312724	0.0133782	0.0364266	0.0325601	0.0392827	0.0440794	0.0777105	0.133198	0.00763595	0.0754034	0.0414569	0.0320439	0.0629364	0.0348146	0.0102673	0.0282541	0.0526752	0.0787659	0.0871891	0.0452451	0.0162078	0.0296353	0.0263221	1.41473	0.751162	0.6761683	1.323832	0.171901	0.423685	0.76497	1.30724	2.36024	5.81731	1.273207	1.957843	1.130033	0.0301636	0.0129038	0.035135	0.0314056	0.0378899	0.0425165	0.0749551	0.128475	0.0073652	0.0727298	0.0399869	0.0309077	0.0607048	0.0335802	0.00990326	0.0272523	0.0508075	0.0759731	0.0840976	0.0436408	0.0156331	0.0285845	0.0253887	0.598551	0.401449	0.5985512	1.036761
288	-35.82121	-50.4882	14.66698	0.163026	0.0561207	0.0904536	0.123329	0.00463369	0.0157413	0.0310762	0.0380569	0.0442334	0.342589	0.0169228	0.263634	0.0531866	0.264284	0.05258	0.299344	0.0103205	0.292373	0.282389	0.0859923	0.067127	0.161254	0.20726	2.07305	0.356172	0.4536539	1.546346	0.281302	0.538716	0.824497	1.21286	1.85627	3.5549	0.9170881	3.408647	3.492218	0.0549662	0.0189218	0.0304976	0.0415821	0.00156231	0.00530739	0.0104777	0.0128314	0.0149139	0.115508	0.00570574	0.0888876	0.0179325	0.0891066	0.017728	0.100928	0.0034797	0.0985774	0.0952111	0.0289934	0.0226327	0.0543687	0.0698805	0.577799	0.422201	0.5777995	2.965927
324	-38.01839	-54.15465	16.13626	0.0560024	0.164347	0.300497	0.116401	8.5564e-05	0.059395	0.0952333	0.0265271	0.258711	0.199133	0.00629124	0.109373	0.376893	0.0326556	0.0622312	0.0786605	0.0154455	0.0530568	0.197755	0.17278	0.0722827	0.0757479	0.108658	1.45881	0.724717	0.289794	1.710206	0.511883	0.721376	0.903128	1.10726	1.38624	1.95357	0.4842097	5.901453	1.20776	0.0212278	0.0622959	0.113904	0.0441219	3.24332e-05	0.0225138	0.0360983	0.0100551	0.0980649	0.0754817	0.0023847	0.0414581	0.142862	0.0123781	0.0235888	0.0298164	0.00585462	0.0201113	0.0749595	0.0654925	0.0273988	0.0287124	0.0411871	0.735508	0.264492	0.7355078	2.638165
360	-47.39943	-64.55827	17.15884	0.0141205	0.0136125	0.00112548	0.0270148	0.0201535	0.0535033	0.0162855	0.00504403	0.00574461	0.0209896	0.0290948	0.00864757	0.00318172	0.0314166	0.0443	0.0101746	4.88272e-05	0.0233166	0.00785072	0.00933104	0.0655446	0.00831537	0.0248424	0.462777	1.32233	0.1594966	1.840503	0.0318179	0.186101	0.5918	1.68976	5.37342	31.4289	2.492944	11.53945	0.209982	0.0318273	0.0306823	0.00253682	0.060891	0.0454258	0.120596	0.0367073	0.0113692	0.0129483	0.0473102	0.0655794	0.0194915	0.00717156	0.0708125	0.0998515	0.0229334	0.000110056	0.0525552	0.0176954	0.021032	0.147737	0.0187427	0.0559944	0.500698	0.499302	0.5006983	0.4436586
396	-42.79526	-58.34622	15.55096	0.195643	0.0247702	0.00828599	0.0278549	0.00732804	0.0134587	0.0926957	0.135021	0.0699717	0.082149	0.00688059	0.132396	0.168388	0.00998363	0.256068	0.223586	0.064087	0.12623	0.0158894	0.136353	0.126312	0.00452843	0.0369894	2.12456	0.325263	0.2626783	1.737322	0.467732	0.69033	0.890817	1.12256	1.44858	2.13797	0.5494304	6.613875	3.919096	0.0995705	0.0126065	0.00421707	0.0141765	0.00372953	0.00684968	0.0471765	0.0687178	0.0356114	0.0418089	0.0035018	0.0673815	0.0856992	0.00508107	0.130323	0.113792	0.0326164	0.0642434	0.00808674	0.0693953	0.064285	0.0023047	0.0188254	0.749129	0.250871	0.7491288	1.964869
432	-39.19648	-58.21268	19.0162	0.00656609	0.00762426	0.0424131	0.0460579	0.0257974	0.0212886	0.0185304	0.0579012	0.0684495	0.0641302	0.000155574	0.085282	0.133437	0.00437478	0.0170682	0.0247728	0.0389103	0.0165241	0.00872058	0.0171931	0.011911	0.0671291	0.0671111	0.998385	1.00097	0.4351014	1.564899	0.143281	0.387678	0.744064	1.34397	2.57946	6.97929	1.404885	3.59663	0.5984511	0.00771258	0.00895551	0.0498187	0.0540999	0.0303018	0.0250058	0.0217659	0.0680112	0.0804013	0.0753278	0.000182739	0.100173	0.156736	0.00513865	0.0200485	0.0290983	0.0457043	0.0194093	0.0102433	0.0201951	0.0139907	0.0788503	0.0788292	0.467524	0.532476	0.4675242	0.8513481
468	-29.00097	-52.36655	23.36559	0.00592296	0.0253568	0.00631048	0.0296722	0.0204332	0.0112933	0.0121882	0.00663833	0.00473611	0.0195913	0.0139439	0.0299364	0.0415917	0.0255222	0.000472018	0.00587861	0.034236	0.01839	0.0114402	0.0434381	0.00401508	0.0194575	0.000519449	0.10687	1.53588	1.69899	0.3010102	0.130256	0.37007	0.733352	1.3636	2.70219	7.67721	1.4738	0.1771701	0.04174945	0.0151489	0.0648537	0.01614	0.0758912	0.0522611	0.0288842	0.0311732	0.0169785	0.0121133	0.0501076	0.0356635	0.076567	0.106377	0.0652768	0.00120726	0.0150354	0.0875637	0.0470351	0.02926	0.111099	0.0102692	0.0497654	0.00132857	0.356509	0.643491	0.3565089	0.3909839
