Iteration	Posterior	Likelihood	Prior	br_lengths[1]	br_lengths[2]	br_lengths[3]	br_lengths[4]	br_lengths[5]	br_lengths[6]	br_lengths[7]	br_lengths[8]	br_lengths[9]	br_lengths[10]	br_lengths[11]	br_lengths[12]	br_lengths[13]	br_lengths[14]	br_lengths[15]	br_lengths[16]	br_lengths[17]	br_lengths[18]	br_lengths[19]	br_lengths[20]	br_lengths[21]	br_lengths[22]	br_lengths[23]	partition_rate[1]	partition_rate[2]	rate01	rate10	rate_categories[1]	rate_categories[2]	rate_categories[3]	rate_categories[4]	rate_categories[5]	rate_categories[6]	rate_log_sd	rate_loss	rate_neo	rel_br_lengths[1]	rel_br_lengths[2]	rel_br_lengths[3]	rel_br_lengths[4]	rel_br_lengths[5]	rel_br_lengths[6]	rel_br_lengths[7]	rel_br_lengths[8]	rel_br_lengths[9]	rel_br_lengths[10]	rel_br_lengths[11]	rel_br_lengths[12]	rel_br_lengths[13]	rel_br_lengths[14]	rel_br_lengths[15]	rel_br_lengths[16]	rel_br_lengths[17]	rel_br_lengths[18]	rel_br_lengths[19]	rel_br_lengths[20]	rel_br_lengths[21]	rel_br_lengths[22]	rel_br_lengths[23]	root_freqs[1]	root_freqs[2]	rtfq1	tree_length
648	-43.07519	-61.40187	18.32668	0.0104915	0.00441052	0.00180936	0.0012111	0.0182866	0.0234912	0.00613373	0.00867009	0.0111378	0.00387443	0.011927	0.00802894	0.00880714	0.0050116	0.000609981	0.0055609	0.000736768	0.00526245	0.00520712	0.00505643	0.0294572	0.0152657	0.00533758	0.802936	1.11824	0.3656514	1.634349	0.0706712	0.274646	0.668201	1.49655	3.64106	14.15	1.915928	4.469691	0.4308219	0.0535868	0.0225273	0.00924158	0.00618585	0.0934013	0.119984	0.0313289	0.0442837	0.0568881	0.0197892	0.0609188	0.041009	0.0449837	0.0255975	0.00311556	0.0284031	0.00376315	0.0268787	0.0265961	0.0258264	0.150457	0.0779715	0.0272624	0.973897	0.0261032	0.9738968	0.195785
684	-33.05912	-53.93673	20.87761	0.0473956	0.079767	0.000875589	0.000441527	0.148302	0.0501352	0.0772894	0.0447049	0.00189976	0.0235747	0.140595	0.122834	0.0567994	0.0500947	0.0299286	0.0766149	0.0484201	0.0639592	0.0187394	0.218921	0.122246	0.0217003	0.000637788	0.588808	1.24672	1.005811	0.9941894	0.264275	0.522559	0.816702	1.22444	1.91366	3.78393	0.9622342	0.9884458	0.2833726	0.0327798	0.0551686	0.000605577	0.00030537	0.102569	0.0346746	0.053455	0.0309189	0.00131392	0.0163048	0.0972389	0.0849546	0.0392837	0.0346466	0.0206993	0.0529885	0.0334884	0.0442356	0.0129606	0.151411	0.0845483	0.0150084	0.000441108	0.992886	0.00711417	0.9928858	1.445876
720	-28.52483	-50.73103	22.2062	0.135382	0.0125242	0.0169856	0.0187874	0.0746646	0.040217	0.0105066	0.00186961	0.0015631	0.047118	0.00967903	0.13541	0.059489	0.0569841	0.113506	0.0420353	0.00418469	0.0213282	0.0127037	0.12273	0.02564	0.0484099	0.0096043	1.15654	0.906079	1.716579	0.2834205	0.372102	0.617463	0.860349	1.16232	1.61953	2.68743	0.7148161	0.1651077	0.765851	0.132555	0.0122627	0.016631	0.0183952	0.0731058	0.0393774	0.0102873	0.00183057	0.00153047	0.0461343	0.00947695	0.132583	0.058247	0.0557944	0.111137	0.0411577	0.00409732	0.0208829	0.0124385	0.120168	0.0251047	0.0473992	0.00940379	0.257407	0.742593	0.2574066	1.021322
756	-25.80579	-48.27196	22.46618	0.147248	0.0262771	0.00814315	0.0307615	0.148311	0.0156877	0.00398993	0.00139126	0.0245114	0.173498	0.088373	0.184833	0.0280137	0.106202	0.196657	0.0784898	0.0377539	0.0451677	0.0130075	0.0245121	0.107186	0.00509437	0.00712397	0.485672	1.3086	1.479133	0.5208666	0.613807	0.788175	0.928428	1.07709	1.26875	1.62918	0.3529116	0.3521431	0.2226839	0.0980195	0.0174921	0.0054207	0.0204772	0.0987272	0.0104429	0.002656	0.000926127	0.0163166	0.115493	0.0588278	0.123039	0.0186481	0.0706959	0.13091	0.0522488	0.0251319	0.0300671	0.00865875	0.0163171	0.0713512	0.0033912	0.00474226	0.907209	0.0927915	0.9072085	1.502232
792	-40.95966	-59.82057	18.86091	0.0277492	0.0467727	0.000874865	0.00198643	0.0108241	0.0449189	0.00149852	0.00522225	0.0247773	0.0836906	0.0593551	0.103545	0.0278094	0.0670948	0.00932016	0.0113954	0.0508805	0.0218724	0.0235129	0.00861774	0.213734	0.014223	0.0166251	1.97876	0.412742	0.8619351	1.138065	0.230913	0.489274	0.800103	1.24984	2.04384	4.33063	1.059811	1.32036	2.876513	0.0316663	0.0533752	0.000998363	0.00226684	0.0123521	0.0512598	0.00171005	0.00595943	0.0282749	0.0955045	0.0677338	0.118161	0.031735	0.076566	0.0106358	0.0130041	0.0580629	0.0249599	0.026832	0.00983424	0.243905	0.0162307	0.0189719	0.910612	0.0893878	0.9106122	0.8762995
828	-38.36256	-52.57372	14.21116	0.0381768	0.00232371	0.0106522	0.150753	0.0888075	0.0209086	0.076498	0.0056998	0.031214	0.150287	0.026269	0.227342	0.0738033	0.0471273	0.0657306	0.0212741	0.222931	0.0490709	0.00531161	0.0366277	0.0605583	0.0774953	0.0272744	2.55844	0.0649387	1.142588	0.8574124	0.040123	0.208387	0.613056	1.63117	4.79876	24.9234	2.32525	0.7504128	23.63861	0.0251804	0.00153265	0.00702589	0.0994321	0.0585749	0.0137907	0.0504559	0.00375943	0.0205878	0.099125	0.0173263	0.149948	0.0486786	0.0310838	0.043354	0.0140318	0.147039	0.0323658	0.00350339	0.0241586	0.0399426	0.0511137	0.0179894	0.874232	0.125768	0.8742317	1.516135
864	-35.69251	-48.76941	13.07691	0.0783972	0.0115591	0.0609509	0.00325141	0.0297463	0.0273661	0.0484959	0.0197658	0.00949005	0.286287	0.0182125	0.0463849	0.123677	0.0120473	0.00808806	0.00721782	0.0876533	0.0668329	0.0197628	0.0359089	0.115501	0.142204	0.0770269	2.31483	0.211101	0.116334	1.883666	0.0890524	0.307425	0.692124	1.44483	3.25282	11.2293	1.748764	16.19188	6.579309	0.0586881	0.00865315	0.0456278	0.002434	0.0222681	0.0204863	0.036304	0.0147967	0.00710425	0.214315	0.0136338	0.0347237	0.0925846	0.00901859	0.00605472	0.00540326	0.0656172	0.0500311	0.0147945	0.0268814	0.0864641	0.106454	0.0576623	0.830717	0.169283	0.8307172	1.335828
900	-35.72512	-55.19858	19.47346	0.0516703	0.0116502	0.0509728	0.0268481	0.0620484	0.0225712	0.0186871	0.0136089	0.000243928	0.103356	0.00405749	0.124586	0.084954	0.0139949	0.0925	0.0421649	0.0579591	0.0114067	0.0263973	0.00623508	0.0423899	0.0404601	0.0373906	0.911326	1.0532	0.6770866	1.322913	0.0896576	0.308442	0.692838	1.44334	3.2421	11.1535	1.743867	1.953832	0.5191736	0.0546109	0.0123132	0.0538738	0.0283761	0.0655797	0.0238557	0.0197506	0.0143834	0.00025781	0.109238	0.00428841	0.131677	0.0897889	0.0147913	0.0977644	0.0445645	0.0612577	0.0120558	0.0278997	0.00658993	0.0448024	0.0427627	0.0395185	0.262451	0.737549	0.2624514	0.9461528
936	-40.82464	-56.92467	16.10003	0.0462648	0.011623	0.0274386	0.0089434	0.031402	0.0248066	0.0866991	0.0196284	0.0053507	0.0560744	0.064148	0.0440365	0.0823756	0.0240885	0.0529143	0.025218	0.0197612	0.00306189	0.00215436	0.0828878	0.192722	0.01901	0.0018522	1.26033	0.843801	0.106425	1.893575	0.135067	0.376675	0.737411	1.3561	2.65481	7.40373	1.447572	17.79257	0.8961813	0.0496158	0.0124648	0.029426	0.00959118	0.0336764	0.0266034	0.0929787	0.02105	0.00573825	0.0601359	0.0687942	0.0472261	0.088342	0.0258333	0.0567468	0.0270446	0.0211925	0.00328366	0.0023104	0.0888914	0.206681	0.0203869	0.00198636	0.837612	0.162388	0.837612	0.9324616
972	-43.4577	-54.85311	11.39541	0.0191705	0.144892	0.021867	0.0115569	0.0433656	0.0657089	0.0922898	0.0769131	0.00556127	0.0736299	0.00411495	0.0701324	0.106762	0.0885463	0.178708	0.186161	0.0336467	0.0395277	0.00862033	0.0653983	0.14774	0.0414534	0.0592411	2.48003	0.11198	0.1350027	1.864997	0.0431106	0.215816	0.619792	1.61344	4.63358	23.1962	2.273319	13.81452	13.28827	0.0120949	0.0914143	0.0137962	0.00729137	0.0273599	0.0414565	0.0582267	0.0485254	0.00350867	0.046454	0.00259617	0.0442473	0.0673575	0.0558649	0.112749	0.117451	0.0212281	0.0249385	0.00543867	0.0412606	0.0932111	0.0261534	0.0373759	0.74522	0.25478	0.7452199	1.585007
1008	-36.5623	-58.64072	22.07842	0.0771025	0.0398609	0.0328187	0.0130258	0.0275293	0.0613589	0.0214551	0.157432	0.0149645	0.0881297	0.199798	0.0283127	0.018656	0.0405422	0.0274593	0.0124298	0.0316636	0.0271265	0.0103266	0.00152752	0.0340431	0.0291537	0.0444102	0.623467	1.22592	1.32998	0.6700203	0.326897	0.579665	0.843559	1.18545	1.72514	3.05907	0.8084713	0.5037824	0.3051424	0.0741993	0.03836	0.031583	0.0125353	0.0264927	0.0590485	0.0206473	0.151504	0.014401	0.0848112	0.192275	0.0272466	0.0179536	0.0390156	0.0264254	0.0119617	0.0304714	0.0261051	0.0099378	0.00147001	0.0327612	0.028056	0.0427379	0.787565	0.212435	0.7875655	1.039127
1044	-31.78131	-55.24827	23.46696	0.0217288	0.0344396	0.00683786	0.00199129	0.0293322	0.00405756	0.00611134	0.00638786	0.0106918	0.022787	0.0236364	0.034825	0.0055306	0.00760332	0.0242838	0.00128754	0.0394729	0.0146865	0.0125934	0.00474498	0.00536371	0.0151104	0.00136384	0.163646	1.50181	1.905433	0.09456698	0.0911754	0.310978	0.69461	1.43966	3.21566	10.9679	1.731728	0.04963018	0.06537935	0.0648878	0.102845	0.0204196	0.00594649	0.0875933	0.0121169	0.01825	0.0190758	0.0319285	0.0680478	0.0705843	0.103996	0.0165158	0.0227054	0.0725175	0.00384493	0.117876	0.0438578	0.0376071	0.0141697	0.0160174	0.0451234	0.00407278	0.829876	0.170124	0.8298763	0.3348677
1080	-32.37514	-54.62469	22.24955	0.0820245	0.0366984	0.00762097	0.114046	0.0860401	0.0310229	0.0100781	0.0358606	0.00458225	0.0699168	0.095032	0.0797261	0.184524	0.0129605	0.0351866	0.015497	0.0108714	0.00173491	0.0052301	0.00337454	0.00224856	0.256524	0.142546	0.289408	1.42635	1.448165	0.551835	0.226755	0.484957	0.797894	1.2533	2.06204	4.41004	1.072951	0.3810581	0.1217404	0.0619826	0.0277315	0.00575886	0.0861802	0.0650171	0.0234428	0.00761563	0.0270984	0.00346263	0.0528333	0.0718119	0.0602459	0.139437	0.00979372	0.0265891	0.0117105	0.0082151	0.001311	0.00395218	0.00255001	0.00169915	0.193845	0.107716	0.89486	0.10514	0.8948602	1.323346
1116	-38.54768	-57.38361	18.83592	0.0812833	0.00118946	0.0224727	0.0772136	0.0162602	0.012458	0.00449878	0.00313841	0.00907028	0.055911	0.0154444	0.0119282	0.108291	0.0181096	0.01882	0.00184595	0.00861804	0.032515	0.00280918	0.0213745	0.00598987	0.00812077	0.0430018	1.74463	0.553224	0.9602549	1.039745	0.0647291	0.26313	0.659331	1.51669	3.80041	15.449	1.979434	1.08278	1.892138	0.140056	0.0020495	0.0387217	0.133043	0.0280172	0.0214658	0.00775165	0.00540766	0.0156286	0.0963378	0.0266116	0.020553	0.186592	0.0312039	0.0324279	0.00318067	0.0148494	0.0560251	0.00484038	0.0368295	0.0103209	0.0139925	0.0740944	0.901874	0.0981262	0.9018738	0.5803642
1152	-29.9528	-50.79867	20.84587	0.0141537	0.000257116	0.0013705	0.00744929	0.00205258	0.00446994	0.000339216	0.000106953	0.00195941	0.0221129	0.0034739	0.0370003	0.00442017	0.000332109	0.0194972	0.00334652	0.00855006	0.0312301	0.00179141	0.00599279	0.00403832	0.0100302	0.00173309	0.660537	1.20368	1.303428	0.6965715	0.0700474	0.273461	0.667301	1.49857	3.65683	14.276	1.922339	0.5344149	0.3292597	0.0762148	0.00138452	0.00737989	0.040113	0.0110528	0.0240697	0.00182661	0.000575923	0.010551	0.119074	0.0187063	0.199239	0.0238018	0.00178834	0.104989	0.0180204	0.0460404	0.168168	0.00964638	0.03227	0.0217456	0.0540107	0.00933235	0.950143	0.0498574	0.9501426	0.1857078
1188	-37.63674	-55.23255	17.5958	0.0509676	0.0270957	0.00376212	0.0214294	0.00972638	0.100338	0.0293472	0.00865836	0.0124789	0.075484	0.0250342	0.039898	0.0755241	0.0643005	0.122014	0.0773924	0.0254592	0.21405	0.0120516	0.0568224	0.131239	0.0435537	0.00391214	1.28466	0.829202	0.3030041	1.696996	0.140689	0.384241	0.742	1.34771	2.60253	7.1079	1.418088	5.600571	0.9295665	0.0414189	0.0220194	0.0030573	0.0174147	0.00790416	0.0815401	0.0238491	0.00703624	0.010141	0.0613422	0.0203441	0.0324232	0.0613749	0.0522539	0.0991546	0.0628931	0.0206894	0.173948	0.00979374	0.0461768	0.106652	0.035394	0.00317921	0.626863	0.373137	0.6268629	1.230538
