Iteration	Posterior	Likelihood	Prior	br_lengths[1]	br_lengths[2]	br_lengths[3]	br_lengths[4]	br_lengths[5]	br_lengths[6]	br_lengths[7]	br_lengths[8]	br_lengths[9]	br_lengths[10]	br_lengths[11]	br_lengths[12]	br_lengths[13]	br_lengths[14]	br_lengths[15]	br_lengths[16]	br_lengths[17]	br_lengths[18]	br_lengths[19]	br_lengths[20]	br_lengths[21]	br_lengths[22]	br_lengths[23]	partition_rate[1]	partition_rate[2]	rate01	rate10	rate_categories[1]	rate_categories[2]	rate_categories[3]	rate_categories[4]	rate_categories[5]	rate_categories[6]	rate_log_sd	rate_loss	rate_neo	rel_br_lengths[1]	rel_br_lengths[2]	rel_br_lengths[3]	rel_br_lengths[4]	rel_br_lengths[5]	rel_br_lengths[6]	rel_br_lengths[7]	rel_br_lengths[8]	rel_br_lengths[9]	rel_br_lengths[10]	rel_br_lengths[11]	rel_br_lengths[12]	rel_br_lengths[13]	rel_br_lengths[14]	rel_br_lengths[15]	rel_br_lengths[16]	rel_br_lengths[17]	rel_br_lengths[18]	rel_br_lengths[19]	rel_br_lengths[20]	rel_br_lengths[21]	rel_br_lengths[22]	rel_br_lengths[23]	root_freqs[1]	root_freqs[2]	rtfq1	tree_length
0	-32.76212	-54.91677	22.15465	0.0121575	0.00432676	0.0257023	0.040372	0.0549063	0.0767373	0.00508985	0.0404969	0.0333709	0.121114	0.0679412	0.0988871	0.00518069	0.00308866	0.0164751	0.0283903	0.0626041	0.00364537	0.0481347	0.0744637	0.070186	0.0233997	0.0484722	0.724727	1.16516	1.160891	0.8391091	0.621183	0.79278	0.930117	1.07513	1.26138	1.60983	0.3442746	0.7228148	0.3731974	0.0125966	0.00448303	0.0266306	0.04183	0.0568893	0.0795088	0.00527367	0.0419594	0.0345761	0.125489	0.070395	0.102459	0.0053678	0.00320021	0.0170702	0.0294156	0.0648651	0.00377703	0.0498731	0.077153	0.0727208	0.0242448	0.0502228	0.622849	0.377151	0.6228491	0.965143
36	-34.58953	-54.50116	19.91163	0.0487475	0.245367	0.0156709	0.0185639	0.0129503	0.0303928	0.0207244	0.000248054	0.109566	0.116778	0.0255255	0.134688	0.0269791	0.0159942	0.137671	0.0639688	0.0963675	0.0453262	0.00417097	0.0972612	0.045878	0.0340616	0.00782858	1.77528	0.534834	1.128967	0.8710331	0.518965	0.726226	0.905018	1.10495	1.37698	1.92691	0.4742752	0.7715311	1.991581	0.0359832	0.181119	0.0115676	0.013703	0.00955931	0.0224346	0.0152978	0.000183102	0.0808768	0.0862	0.0188418	0.0994204	0.0199148	0.0118062	0.101623	0.0472189	0.0711341	0.0334578	0.00307882	0.0717939	0.0338651	0.0251427	0.00577871	0.667312	0.332688	0.6673117	1.354729
72	-30.94323	-54.61875	23.67552	0.0361057	0.0170388	0.0157015	0.047471	0.147444	0.0875069	0.0748269	0.00103782	0.0578731	0.168078	0.0448101	0.0869304	0.083651	0.1127	0.0331224	0.389633	0.0759772	0.0314284	0.0400286	0.0451513	0.0212808	0.0952814	0.0555539	0.0411377	1.57532	1.766705	0.2332945	0.806345	0.900347	0.96778	1.03329	1.11068	1.24016	0.1556362	0.1320506	0.01566836	0.0204145	0.0096339	0.00887776	0.0268405	0.0833663	0.0494771	0.0423078	0.000586794	0.0327219	0.095033	0.025336	0.0491512	0.047297	0.0637213	0.0187277	0.220302	0.0429582	0.0177699	0.0226325	0.0255289	0.0120324	0.0538729	0.0314106	0.088849	0.911151	0.08884902	1.768632
108	-30.51587	-52.6612	22.14533	0.118251	0.0282551	0.0492481	0.00235856	0.398647	0.0207194	0.0402681	0.00181432	0.0223529	0.0453853	0.100879	0.365379	0.228958	0.0705213	0.14345	0.221393	0.448359	0.0368885	0.0261655	0.0393454	0.0145438	0.166957	0.0176651	0.116246	1.53025	1.698799	0.3012008	0.825618	0.910779	0.971265	1.02959	1.09796	1.21121	0.1385564	0.1773022	0.04557918	0.045345	0.0108348	0.0188849	0.000904423	0.152867	0.00794515	0.0154414	0.000695726	0.00857156	0.0174037	0.0386835	0.14011	0.0877973	0.0270424	0.0550079	0.0848964	0.17193	0.0141454	0.0100336	0.0150876	0.00557702	0.0640221	0.00677392	0.0974817	0.902518	0.0974817	2.607804
144	-31.05054	-52.65979	21.60925	0.274753	0.0104319	0.0187741	0.0431714	0.0451545	0.0104687	0.0311465	0.0194516	0.0103576	0.0846381	0.0224353	0.390024	0.23749	0.106104	0.0390173	0.114544	0.327935	0.0603973	0.0785088	0.0517849	0.0211692	0.0506019	0.0387977	0.374637	1.37522	1.445793	0.5542067	0.510338	0.720313	0.902712	1.10777	1.38828	1.95949	0.4863955	0.3833236	0.163452	0.13164	0.00499816	0.00899507	0.0206843	0.0216345	0.00501579	0.0149229	0.00931967	0.00496256	0.0405519	0.0107492	0.186869	0.113786	0.0508364	0.018694	0.0548806	0.15712	0.0289376	0.0376152	0.0248112	0.0101426	0.0242444	0.0185888	0.396999	0.603001	0.3969986	2.087157
180	-29.29099	-53.63451	24.34352	0.101868	0.00851433	0.00770131	0.0217224	0.231582	0.013651	0.0227927	0.0125619	0.0114245	0.0870711	0.0482414	0.0980748	0.0354904	0.0399076	0.0140197	0.0188334	0.135235	0.0230537	0.017577	0.131301	0.019297	0.112905	0.00114322	0.223904	1.46566	1.939489	0.06051107	0.614688	0.788727	0.928631	1.07685	1.26787	1.62684	0.3518741	0.03119949	0.09166034	0.0839131	0.00701364	0.00634392	0.0178937	0.190764	0.011245	0.0187753	0.0103478	0.00941085	0.0717244	0.0397386	0.0807887	0.0292351	0.0328737	0.0115486	0.0155139	0.111399	0.0189903	0.014479	0.108158	0.0158958	0.0930051	0.000941718	0.867712	0.132288	0.867712	1.213968
216	-35.02131	-58.06492	23.04361	0.314728	0.00557866	0.0283426	0.0806743	0.095961	0.0280019	0.0124571	0.0124577	0.000647482	0.0491956	0.0081149	0.110975	0.0223577	0.0182446	0.0798164	0.0484033	0.0383443	0.0215855	0.0319134	0.0209135	0.0181173	0.083468	0.0179599	0.616872	1.22988	1.747087	0.2529133	0.452408	0.679206	0.886314	1.12827	1.47231	2.21039	0.5735172	0.1447629	0.3009431	0.274092	0.00485837	0.0246832	0.070258	0.083571	0.0243864	0.0108487	0.0108492	0.000563882	0.0428438	0.00706714	0.0966461	0.0194709	0.015889	0.0695109	0.0421537	0.0333935	0.0187985	0.0277929	0.0182132	0.0157781	0.072691	0.015641	0.991649	0.00835064	0.9916494	1.148257
252	-41.58635	-61.4081	19.82175	0.0361458	0.0630248	0.100027	0.357493	0.072499	0.0147639	0.0688063	0.0981152	0.172965	0.00506676	0.176992	0.17553	0.293642	0.0348874	0.104974	0.149344	0.0722636	0.133273	0.248398	0.0116953	0.0161207	0.252073	0.232666	0.216235	1.47026	1.17869	0.8213101	0.338521	0.589628	0.848056	1.17917	1.69599	2.95402	0.7832051	0.6967992	0.08824365	0.0125039	0.0218021	0.0346023	0.123667	0.0250795	0.00510728	0.0238021	0.0339409	0.0598337	0.00175274	0.0612266	0.0607208	0.101579	0.0120686	0.0363137	0.0516623	0.0249981	0.0461031	0.085928	0.00404576	0.00557662	0.0871994	0.080486	0.975046	0.0249535	0.9750465	2.890765
288	-31.81707	-53.5529	21.73583	0.0207579	0.040209	0.00102167	0.0324185	0.0102271	0.00170176	0.0268513	0.00399592	0.0161158	0.0373407	0.00827525	0.0482105	0.0968978	0.00032314	0.0166038	0.0328175	0.00860619	0.0124729	0.0269095	0.0590358	0.0244247	0.0358702	0.0369501	1.06787	0.959276	1.280406	0.7195944	0.349078	0.598524	0.852028	1.17367	1.67078	2.86469	0.7610017	0.5620051	0.6679243	0.03471	0.067235	0.00170838	0.0542081	0.0171011	0.00284558	0.0448991	0.00668173	0.0269478	0.0624388	0.0138373	0.0806145	0.162026	0.000540335	0.0277638	0.0548754	0.0143907	0.0208563	0.0449964	0.098716	0.0408414	0.0599799	0.0617857	0.772224	0.227776	0.7722236	0.5980371
324	-43.73993	-57.0865	13.34657	0.163005	0.0425068	0.0994453	0.200199	0.00217227	0.0211019	0.0150984	0.00140873	0.0739818	0.0777788	0.00561609	0.0341857	0.0612441	0.000740409	0.0446291	0.0347392	0.0128023	0.059498	0.11417	0.140593	0.14499	0.000974405	0.136777	2.19289	0.284269	0.1325756	1.867424	0.0612901	0.256217	0.653877	1.52934	3.90295	16.3158	2.018907	14.08573	4.628472	0.109572	0.028573	0.0668469	0.134573	0.00146019	0.0141847	0.0101491	0.000946944	0.0497304	0.0522827	0.00377512	0.0229796	0.0411681	0.000497702	0.0299996	0.0233516	0.00860568	0.0399944	0.0767447	0.0945062	0.0974623	0.000654993	0.091941	0.895665	0.104335	0.8956651	1.487658
360	-45.19543	-60.51968	15.32425	0.0701034	0.0138638	0.0265629	0.00167142	0.000199795	0.00758771	0.00661575	0.00377127	0.00624374	0.0774764	0.00420343	0.011826	0.020776	0.007489	0.00512856	0.0322391	0.00485339	0.00683477	0.00967517	0.0268266	0.0463382	0.00278761	0.0184658	0.679543	1.19227	0.03444784	1.965552	0.220078	0.47794	0.794274	1.25901	2.09231	4.54384	1.094562	57.0588	0.341973	0.170344	0.0336877	0.0645452	0.00406139	0.000485481	0.0184374	0.0160756	0.00916381	0.0151717	0.18826	0.0102139	0.0287359	0.0504836	0.0181975	0.0124619	0.0783377	0.0117932	0.0166078	0.0235097	0.065186	0.112597	0.00677361	0.0448701	0.410766	0.589234	0.4107656	0.41154
396	-34.59749	-54.22057	19.62307	0.345267	0.0241078	0.0158369	0.0139004	0.00161498	0.0111297	0.0337805	0.0112069	0.0441864	0.181007	0.0117587	0.378603	0.171592	0.0902197	0.15157	0.0516485	0.102106	0.0662579	0.00917462	0.156574	0.0952543	0.00921831	0.138005	0.694368	1.18338	0.7330635	1.266937	0.494143	0.709074	0.898294	1.11322	1.41029	2.0237	0.5097126	1.728277	0.3520601	0.163323	0.0114038	0.00749138	0.00657535	0.000763938	0.0052647	0.0159793	0.00530121	0.0209016	0.0856222	0.00556225	0.179092	0.0811685	0.0426769	0.0716974	0.0244314	0.0482994	0.0313422	0.0043399	0.0740647	0.0450584	0.00436056	0.0652809	0.736492	0.263508	0.7364924	2.114018
432	-42.20414	-55.44103	13.23689	0.0965748	0.0491833	0.00156256	0.168412	0.043797	0.0059553	0.203191	0.0148703	0.0634433	0.101362	0.00463306	0.897821	0.611077	0.143375	0.139922	0.113945	0.112992	0.459198	0.146353	0.323364	0.244975	0.0273576	0.0542215	0.585361	1.24878	0.2333443	1.766656	0.0701801	0.273713	0.667493	1.49814	3.65346	14.249	1.92097	7.571025	0.2812469	0.0239783	0.0122116	0.000387964	0.0418146	0.0108743	0.00147863	0.0504499	0.00369211	0.0157522	0.025167	0.00115033	0.222918	0.151723	0.0355984	0.0347409	0.0282912	0.0280545	0.114013	0.0363376	0.0802873	0.0608243	0.00679254	0.0134625	0.251898	0.748102	0.2518983	4.027585
468	-35.22429	-51.69706	16.47276	0.266143	0.197735	0.00855571	0.0796512	0.14918	0.0405718	0.0247105	0.00634157	0.0285558	0.131345	0.0156496	0.0767943	0.27921	0.0305841	0.00453812	0.202965	0.0411679	0.0344398	0.031936	0.527558	0.264127	0.206562	0.0662861	1.66995	0.598027	0.5679034	1.432097	0.328718	0.581237	0.844272	1.18445	1.72047	3.04212	0.8044544	2.521726	1.675463	0.098041	0.072841	0.00315173	0.0293417	0.0549547	0.0149457	0.00910281	0.00233609	0.0105193	0.0483845	0.00576495	0.0282893	0.102855	0.0112665	0.00167174	0.0747677	0.0151653	0.0126868	0.0117645	0.19434	0.0972985	0.0760928	0.0244183	0.537752	0.462248	0.5377517	2.714607
504	-31.57228	-50.85247	19.28019	0.0655969	0.101448	0.0678481	0.105561	0.0383389	0.186945	0.0284904	0.0111375	0.0209946	0.23833	0.0597274	0.0391424	0.143443	0.0684854	0.156216	0.123498	0.274777	0.00757056	0.0897408	0.173829	0.172159	0.121855	0.0029098	1.46274	0.722354	1.097182	0.9028178	0.721937	0.85308	0.951634	1.05082	1.17222	1.38516	0.235588	0.8228513	1.21498	0.0285447	0.0441455	0.0295243	0.0459352	0.0166833	0.0813498	0.0123977	0.00484652	0.00913587	0.10371	0.0259905	0.0170329	0.0624196	0.0298016	0.0679779	0.0537404	0.11957	0.00329435	0.0390509	0.0756422	0.0749156	0.0530255	0.00126621	0.808349	0.191651	0.8083489	2.298045
540	-43.35687	-57.75317	14.39629	0.181619	0.0889144	0.0591577	0.0952041	0.296234	0.0374908	0.0749686	0.130193	0.0282946	0.314193	0.0416763	0.139841	0.359658	0.0399645	0.214024	0.212207	0.00715248	0.0461053	0.0172238	0.111966	0.094319	0.0532734	0.0108228	2.23864	0.256818	0.8067195	1.193281	0.05093	0.234093	0.635712	1.57304	4.27181	19.6348	2.152795	1.479177	5.230084	0.0684192	0.0334957	0.0222858	0.0358651	0.111597	0.0141235	0.0282421	0.0490461	0.0106591	0.118362	0.0157002	0.0526808	0.13549	0.0150554	0.0806266	0.0799424	0.00269447	0.0173687	0.00648851	0.0421797	0.0355317	0.0200691	0.00407713	0.664441	0.335559	0.6644411	2.654503
576	-36.4363	-57.20776	20.77146	0.0637317	0.0966756	0.0120499	0.170568	0.170899	0.0781555	0.169105	0.130427	0.0158828	0.136488	0.0943838	0.164984	0.123787	0.0919733	0.0684074	0.154636	0.0467977	0.0937888	0.0528669	0.117107	0.144695	0.00110633	0.00424673	0.406553	1.35607	1.391512	0.6084884	0.253958	0.512508	0.811768	1.23188	1.95119	3.93766	0.9910276	0.4372859	0.1798815	0.0289326	0.0438883	0.00547037	0.0774337	0.0775838	0.0354807	0.0767695	0.0592105	0.00721042	0.0619623	0.0428479	0.0748987	0.0561964	0.0417536	0.0310553	0.070201	0.021245	0.0425778	0.0240003	0.0531635	0.0656881	0.000502244	0.00192791	0.579789	0.420211	0.5797886	2.202763
612	-42.80315	-59.11313	16.30998	0.0765872	0.134919	0.0155676	0.0145065	0.00269335	0.0660912	0.0260926	0.0197501	0.00600901	0.00271564	0.0115056	0.0200068	0.0166184	0.0311452	0.00208307	0.0396172	0.0222199	0.00826181	0.00262743	0.0466152	0.0395917	0.00256566	0.157228	1.7563	0.546221	0.1750484	1.824952	0.136697	0.378885	0.738758	1.35362	2.63933	7.31547	1.438901	10.42541	1.929219	0.100112	0.17636	0.0203494	0.0189623	0.00352064	0.0863917	0.0341072	0.0258165	0.00785474	0.00354978	0.0150396	0.0261521	0.0217228	0.0407118	0.00272291	0.051786	0.0290449	0.0107995	0.00343447	0.0609336	0.0517526	0.00335373	0.205522	0.0813626	0.918637	0.08136257	0.7650172
